n10,1366829460,1366831260,60|37.0,65.0,87.0,41.0,100.0,76.0,83.0,82.0,50.0,54.0,46.0,28.0,68.0,69.0,94.0,90.0,57.0,47.0,94.0,83.0,79.0,85.0,99.0,77.0,85.0,70.0,91.0,88.0,64.0,89.0
n11,1366829460,1366831260,60|100.0,57.0,84.0,35.0,87.0,67.0,66.0,92.0,39.0,57.0,65.0,65.0,60.0,39.0,89.0,49.0,71.0,77.0,89.0,67.0,74.0,70.0,52.0,69.0,88.0,85.0,99.0,100.0,97.0,97.0
n12,1366829460,1366831260,60|40.0,35.0,75.0,35.0,62.0,67.0,38.0,31.0,34.0,34.0,57.0,69.0,76.0,38.0,78.0,91.0,76.0,76.0,71.0,88.0,20.0,81.0,58.0,89.0,100.0,70.0,79.0,50.0,54.0,75.0
n13,1366829460,1366831260,60|73.0,77.0,78.0,42.0,18.0,43.0,43.0,85.0,51.0,61.0,21.0,81.0,50.0,64.0,86.0,40.0,83.0,43.0,28.0,45.0,34.0,55.0,27.0,46.0,44.0,57.0,35.0,69.0,69.0,55.0
n14,1366829460,1366831260,60|99.0,100.0,100.0,100.0,100.0,99.0,99.0,100.0,100.0,100.0,100.0,99.0,86.0,85.0,91.0,74.0,36.0,54.0,66.0,84.0,74.0,46.0,32.0,71.0,74.0,49.0,55.0,69.0,45.0,73.0
n15,1366829460,1366831260,60|74.0,58.0,68.0,49.0,26.0,59.0,66.0,88.0,76.0,63.0,43.0,77.0,84.0,70.0,36.0,52.0,15.0,81.0,41.0,84.0,75.0,88.0,88.0,66.0,57.0,31.0,53.0,36.0,27.0,64.0
n16,1366829460,1366831260,60|99.0,72.0,95.0,47.0,47.0,46.0,73.0,71.0,84.0,33.0,61.0,55.0,92.0,51.0,99.0,88.0,65.0,92.0,76.0,100.0,91.0,85.0,87.0,55.0,78.0,58.0,71.0,98.0,37.0,87.0
n17,1366829460,1366831260,60|82.0,41.0,74.0,88.0,69.0,63.0,42.0,38.0,52.0,67.0,41.0,74.0,51.0,60.0,60.0,65.0,68.0,68.0,30.0,41.0,60.0,66.0,46.0,34.0,35.0,97.0,60.0,47.0,73.0,85.0
n23,1366829460,1366831260,60|59.0,95.0,93.0,81.0,66.0,93.0,96.0,93.0,94.0,96.0,96.0,98.0,53.0,92.0,79.0,97.0,91.0,31.0,75.0,80.0,84.0,71.0,72.0,49.0,76.0,99.0,100.0,100.0,91.0,99.0
n24,1366829460,1366831260,60|99.0,99.0,88.0,95.0,60.0,69.0,100.0,100.0,100.0,100.0,91.0,90.0,70.0,96.0,83.0,82.0,99.0,97.0,94.0,58.0,49.0,83.0,96.0,69.0,90.0,80.0,67.0,74.0,54.0,100.0
n26,1366829460,1366831260,60|45.0,44.0,85.0,44.0,69.0,51.0,83.0,96.0,96.0,53.0,81.0,97.0,38.0,81.0,60.0,86.0,70.0,64.0,58.0,61.0,91.0,63.0,44.0,54.0,29.0,90.0,74.0,40.0,60.0,82.0
n27,1366829460,1366831260,60|63.0,100.0,94.0,78.0,66.0,89.0,79.0,97.0,92.0,76.0,76.0,64.0,80.0,65.0,59.0,92.0,90.0,36.0,63.0,57.0,45.0,57.0,50.0,65.0,83.0,42.0,68.0,37.0,54.0,46.0
n29,1366829460,1366831260,60|75.0,83.0,79.0,46.0,95.0,100.0,91.0,99.0,99.0,83.0,96.0,73.0,100.0,98.0,99.0,100.0,100.0,100.0,95.0,96.0,92.0,64.0,86.0,60.0,98.0,87.0,99.0,92.0,59.0,73.0
n30,1366829460,1366831260,60|100.0,94.0,100.0,100.0,100.0,99.0,88.0,76.0,99.0,75.0,60.0,70.0,85.0,88.0,99.0,70.0,97.0,84.0,91.0,98.0,80.0,82.0,44.0,79.0,92.0,96.0,77.0,88.0,99.0,65.0
n31,1366829460,1366831260,60|93.0,78.0,68.0,51.0,86.0,75.0,93.0,44.0,62.0,90.0,54.0,76.0,91.0,99.0,95.0,80.0,81.0,67.0,84.0,84.0,96.0,74.0,80.0,56.0,45.0,68.0,64.0,79.0,46.0,69.0
n32,1366829460,1366831260,60|None,None,None,None,None,100.0,100.0,99.0,99.0,100.0,99.0,98.0,98.0,82.0,90.0,100.0,81.0,84.0,86.0,97.0,98.0,95.0,90.0,81.0,95.0,89.0,73.0,80.0,100.0,99.0
n33,1366829460,1366831260,60|52.0,81.0,57.0,83.0,96.0,61.0,65.0,46.0,80.0,45.0,42.0,29.0,52.0,77.0,92.0,87.0,96.0,99.0,100.0,94.0,89.0,67.0,87.0,100.0,60.0,59.0,97.0,73.0,71.0,49.0
n34,1366829460,1366831260,60|48.0,46.0,75.0,95.0,71.0,63.0,36.0,59.0,76.0,100.0,79.0,61.0,79.0,60.0,94.0,98.0,56.0,76.0,68.0,92.0,97.0,99.0,68.0,72.0,63.0,98.0,74.0,98.0,58.0,91.0
